,Carrier Short Name,Means of Transport,Origin Code,Destination Code,iTMS Mode,Currency,Min Price,Max Price,Chargeable Weight Bracket,Cost per 100kg
67,MAROTRANS,,A00F3Y  02,A0085W  01,LTL / GRP / HUB,EUR,0.0,1855.0,<=3000_HUB,48.33
68,MAROTRANS,,A00J54  02,A0085W  01,LTL / GRP / HUB,EUR,0.0,2100.0,<=3000_HUB,841.79
69,SESE,,A00J54  02,A0085W  01,LTL / GRP / HUB,EUR,0.0,2191.0,<=3000_HUB,42.53
70,SESE,,A00J54  01,A0085W  01,LTL / GRP / HUB,EUR,0.0,2130.0,<=3000_HUB,864.26
71,MAROTRANS,,A00J54  01,A0085W  01,LTL / GRP / HUB,EUR,0.0,2160.0,<=3000_HUB,42.53
72,SESE,,A00FZ6  01,A0085W  01,LTL / GRP / HUB,EUR,0.0,1984.0,<=3000_HUB,787.99
73,GEFCO,,99109B  01,78001H  VE,LTL / GRP / HUB,EUR,0.0,1368.82,<=3000_HUB,25.09
74,GEFCO,,99109B  01,90009K  TH,LTL / GRP / HUB,EUR,0.0,3077.08,<=3000_HUB,53.65
75,GEFCO,,99109B  01,26805K  01,LTL / GRP / HUB,EUR,0.0,2970.83,<=3000_HUB,33.55
76,GEFCO,,99109B  01,26805K  04,LTL / GRP / HUB,EUR,0.0,2476.04,<=3000_HUB,28.64
77,GEFCO,,99109B  01,26697T  01,LTL / GRP / HUB,EUR,0.0,2905.21,<=3000_HUB,51.82
78,GEFCO,,99109B  01,A0085W  01,LTL / GRP / HUB,EUR,0.0,4761.36,<=3000_HUB,64.43
79,GEFCO,,99109B  01,78001H  CA,LTL / GRP / HUB,EUR,0.0,1949.47,<=3000_HUB,35.21
80,GEFCO,,99109B  01,26846E  DF,LTL / GRP / HUB,EUR,0.0,1585.11,<=3000_HUB,18.86
81,GEFCO,,99109B  01,78001H  MS,LTL / GRP / HUB,EUR,0.0,1284.95,<=3000_HUB,15.52
82,GEFCO,,99109B  01,78001H  MU,LTL / GRP / HUB,EUR,0.0,1259.78,<=3000_HUB,23.14
83,GEFCO,,99109B  01,78001H  RJ,LTL / GRP / HUB,EUR,0.0,2273.68,<=3000_HUB,41.08
